Make;Model;Manufacturing Year;Fuel Type;Engine Power (HP);Mileage (km);Number of Accidents;Market Value ($);Total Owners;Has Dashcam;Vehicles in Family;Driving Experience;AGE;HOMEKIDS;EMPLOYED;INCOME;MSTATUS;GENDER;TRAVTIME;BLUEBOOK;TIF;CAR_TYPE;RED_CAR;OLDCLAIM;CLM_FREQ;REVOKED;MVR_PTS;CLM_AMT;CAR_AGE;CLAIM_FLAG;Liability Insurance;Theft Insurance;Premium Insurance;Repair Insurance;Premium Repair Insurance
Honda;CR-V;2004;Petrol;122;278669;0;2000;4;FALSE;3;4;50;0;FALSE;120424;TRUE;M;37;$33,030;6;Panel Truck;yes;$0;0;No;0;0;13;0;754;481;811,6;611;902
Tesla;Model S;2022;Electric;333;18391;0;44434;1;TRUE;2;1;58;0;TRUE;89403;TRUE;M;23;$22,990;10;Panel Truck;no;$0;0;Yes;2;0;15;0;1288,17;860,84;1177,438;716,5;1325,17
Chevrolet;Silverado;2008;Diesel;158;230098;2;2000;2;FALSE;1;7;56;0;TRUE;4200;TRUE;F;35;$37,380;1;Minivan;no;$0;0;No;0;0;9;0;1226;699;1240,4;829;1218
Chevrolet;Malibu;2015;Diesel;265;111529;0;6847;1;FALSE;1;8;37;3;TRUE;14818;FALSE;M;34;$16,710;4;Van;yes;$0;0;Yes;0;0;1;0;1214,235;700,97;909,929;732,5;1139,235
Toyota;Camry;2011;Petrol;129;175475;0;2000;3;FALSE;2;7;46;0;TRUE;76216;FALSE;F;56;$13,720;4;SUV;no;$0;0;Yes;3;0;19;0;768;484,5;817,2;614,5;909
Volkswagen;Passat;2010;Diesel;269;195950;1;2000;1;FALSE;4;4;41;4;TRUE;0;FALSE;F;53;$1,500;6;Sports Car;no;$1,433;2;No;5;292;0;1;1448;754,5;1079,2;884,5;1329
BMW;X5;2007;Diesel;486;250105;3;2000;4;FALSE;2;8;45;0;TRUE;43998;TRUE;F;16;$25,500;4;Minivan;no;$0;0;No;0;0;15;0;2082;963;1702,8;1093;1686
Chevrolet;Silverado;2017;Hybrid;173;102428;0;10757;1;TRUE;4;2;53;0;TRUE;39095;TRUE;M;11;$10,710;6;Pickup;yes;$0;0;No;0;0;10;0;799,785;444,07;813,699;636,5;996,785
Volkswagen;Golf;2022;Hybrid;197;21619;0;26338;1;TRUE;3;1;51;0;TRUE;54236;TRUE;M;40;$6,600;1;Pickup;no;$0;0;No;0;0;14;0;925,69;611,88;941,966;648,5;1098,69
BMW;X3;2018;Electric;229;78469;0;24421;1;FALSE;1;2;51;1;TRUE;;TRUE;M;5;$12,430;1;Minivan;yes;$9,000;1;No;0;6431;11;1;1130,105;758,71;1054,147;714,5;1191,105
Nissan;Pathfinder;2003;Diesel;140;302518;1;2000;1;FALSE;4;6;33;5;TRUE;0;TRUE;F;45;$9,930;4;Sports Car;no;$0;0;No;3;0;10;0;1240;590;1026;970;1410
Toyota;Corolla;2006;Hybrid;198;254656;1;2000;2;FALSE;3;17;43;3;TRUE;72637;FALSE;F;46;$24,050;1;Panel Truck;no;$0;0;No;0;0;16;0;1256;619;1072,4;899;1328
BMW;X3;2023;Diesel;483;5000;0;49166;1;TRUE;4;1;47;0;TRUE;128481;FALSE;M;40;$14,350;1;Minivan;yes;$0;0;No;2;0;12;0;1611,83;983,16;1330,562;791,5;1498,83
Ford;Escape;2016;Hybrid;357;108211;0;8678;1;TRUE;4;3;55;0;TRUE;51512;FALSE;M;29;$9,160;6;Pickup;no;$0;0;No;0;0;4;0;1157,39;615,28;896,346;628,5;1030,39
Tesla;Model X;2000;Electric;703;342460;2;2000;3;FALSE;3;11;43;0;TRUE;93239;TRUE;F;36;$5,800;1;Sports Car;no;$0;0;No;0;0;13;0;2316;971,5;1676,4;1101,5;1763
Chevrolet;Malibu;2014;Diesel;214;138182;2;2681;1;TRUE;2;5;38;2;TRUE;0;TRUE;M;22;$5,300;4;Pickup;yes;$0;0;No;8;9388;1;1;1341,405;683,81;1139,967;857;1277,405
Tesla;Model Y;2012;Electric;522;158717;1;2000;3;TRUE;4;5;51;0;TRUE;37098;FALSE;M;24;$10,310;7;Pickup;yes;$9,736;3;No;2;785;19;1;1654;631;1231,6;911;1442
BMW;X5;2004;Diesel;413;277135;0;2000;3;FALSE;3;9;36;0;TRUE;166406;FALSE;F;37;$25,020;6;Pickup;no;$0;0;No;1;0;16;0;1336;626,5;1044,4;756,5;1193
Toyota;Corolla;2017;Hybrid;164;92726;0;11727;1;TRUE;5;6;31;0;TRUE;11425;FALSE;F;40;$4,780;3;SUV;no;$2,168;2;No;2;4229;6;1;786,635;449,27;813,289;532;852,635
Tesla;Model X;2008;Electric;615;229667;2;2000;2;FALSE;3;16;38;1;TRUE;100796;FALSE;M;26;$16,860;6;Minivan;yes;$3,011;4;No;0;0;0;0;2190;1027,5;1556;1007,5;1605
Volkswagen;Golf;2008;Petrol;125;228892;1;2000;2;FALSE;3;10;47;0;TRUE;108031;TRUE;M;13;$21,460;3;Van;no;$0;0;No;0;0;13;0;960;582,5;1014;712,5;1045
Ford;Explorer;2004;Petrol;378;283022;0;2000;2;FALSE;4;12;36;1;TRUE;;TRUE;M;69;$30,370;17;Panel Truck;no;$5,872;2;No;3;0;1;0;1316;709;966,4;689;1088
Honda;Accord;2001;Diesel;177;321025;0;2000;2;FALSE;2;2;38;0;TRUE;90075;FALSE;F;40;$30,110;1;Minivan;no;$0;0;No;2;0;15;0;864;508,5;855,6;638,5;957
BMW;3 Series;2003;Petrol;393;298058;3;2000;3;FALSE;3;15;43;1;TRUE;71402;TRUE;F;21;$27,250;1;Panel Truck;no;$9,712;3;No;1;0;15;0;1946;916,5;1628,4;1096,5;1663
Chevrolet;Tahoe;2014;Diesel;359;142023;2;2297;1;FALSE;2;3;41;0;TRUE;185205;FALSE;M;47;$5,600;12;Pickup;yes;$0;0;No;0;0;12;0;1629,485;802,47;1403,279;929,5;1420,485
Toyota;Highlander;2014;Petrol;284;139126;0;2587;1;TRUE;1;8;50;0;TRUE;0;FALSE;F;8;$6,500;7;SUV;no;$0;0;No;0;0;1;0;980,935;517,87;795,309;592;926,935
Tesla;Model S;2022;Electric;522;15657;0;44890;1;TRUE;4;2;53;0;TRUE;46817;TRUE;M;21;$6,800;1;Pickup;no;$0;0;No;0;0;13;0;1668,45;959,9;1331,83;811;1516,45
Ford;Explorer;2013;Diesel;244;151450;2;2000;1;TRUE;5;11;46;0;TRUE;42621;FALSE;F;45;$10,360;4;SUV;no;$7,333;1;Yes;0;5120;1;1;1298;692;1159,2;772;1164
Tesla;Model X;2016;Electric;455;104627;0;15062;1;FALSE;5;7;55;0;TRUE;105178;TRUE;F;25;$12,020;4;Minivan;no;$0;0;No;0;0;8;0;1485,31;778,12;1169,434;777,5;1300,31
BMW;X5;2016;Electric;338;101362;0;15606;1;TRUE;2;4;63;0;TRUE;31269;TRUE;M;42;$10,930;7;Sports Car;yes;$0;0;No;4;0;1;0;1154,03;675,06;929,642;619;1046,03
Volkswagen;Tiguan;2022;Electric;276;11965;0;27303;1;TRUE;5;2;40;4;TRUE;147647;FALSE;M;12;$28,870;3;Panel Truck;yes;$1,449;2;No;3;6767;25;1;1288,515;661,03;1011,921;888;1462,515
BMW;5 Series;2007;Diesel;407;239894;2;2000;1;FALSE;1;9;35;0;TRUE;60855;FALSE;M;52;$23,480;9;Panel Truck;no;$0;0;No;0;0;1;0;1724;923,5;1389,6;853,5;1327
Honda;Civic;2017;Diesel;261;99022;0;11097;1;FALSE;4;7;55;0;TRUE;130162;FALSE;F;17;$29,990;1;Panel Truck;no;$0;0;No;2;0;7;0;1077,485;641,47;986,479;580,5;946,485
BMW;5 Series;2017;Diesel;187;82491;0;21251;1;TRUE;2;3;38;2;TRUE;10287;FALSE;M;11;$19,320;7;Van;no;$0;0;No;0;0;1;0;980,255;656,01;848,357;643,5;1063,255
Volkswagen;Tiguan;2002;Diesel;100;320014;0;2000;4;FALSE;1;2;60;0;TRUE;100328;TRUE;F;20;$22,300;10;SUV;no;$0;0;No;1;0;20;0;710;470;794;600;880
Honda;Accord;2004;Diesel;156;290241;0;2000;3;FALSE;4;15;29;3;TRUE;24365;FALSE;F;9;$6,840;7;SUV;no;$36,744;1;Yes;2;6464;1;1;972;598;788,8;678;1006
Nissan;Altima;2003;Petrol;152;308653;1;2000;2;FALSE;2;19;48;0;TRUE;105103;TRUE;F;34;$6,300;10;Sports Car;no;$0;0;No;0;0;16;0;1014;596;1035,6;726;1072
Volkswagen;Passat;2017;Electric;192;94802;0;11519;1;TRUE;5;3;58;1;TRUE;66762;TRUE;M;21;$28,600;4;Panel Truck;yes;$4,007;1;No;6;0;17;0;891,595;461,19;834,233;696;1089,595
Ford;Mustang;2014;Petrol;432;138363;1;2663;1;FALSE;5;8;40;2;TRUE;;FALSE;M;5;$16,080;3;Minivan;yes;$0;0;No;0;0;1;0;1677,315;842,63;1214,241;866;1355,315
Volkswagen;Tiguan;2022;Electric;271;8347;0;27665;1;TRUE;2;1;43;3;TRUE;53073;FALSE;F;39;$23,100;10;Pickup;no;$5,328;4;No;5;6515;13;1;1230,325;662,15;1010,455;835,5;1389,325
Ford;Explorer;2014;Diesel;398;133322;0;3167;3;TRUE;1;1;40;3;TRUE;48623;TRUE;F;21;$25,620;10;Sports Car;no;$0;0;No;2;0;1;0;1361,835;580,67;890,569;799;1253,835
Tesla;Model S;2008;Electric;961;221089;0;2000;4;FALSE;5;7;47;0;FALSE;120150;TRUE;M;20;$20,800;14;Van;no;$0;0;No;1;0;15;0;2432;900,5;1482,8;1030,5;1741
Toyota;Highlander;2005;Petrol;185;268800;0;2000;1;FALSE;2;18;42;0;TRUE;57095;FALSE;F;25;$20,720;4;SUV;no;$46,442;1;Yes;5;0;12;0;880;512,5;862;642,5;965
BMW;X3;2017;Diesel;390;89027;0;20162;1;TRUE;4;7;48;0;TRUE;36098;FALSE;M;24;$9,910;1;Pickup;yes;$8,258;2;No;0;0;6;0;1280,81;646,62;1053,134;645;1120,81
Honda;CR-V;2009;Petrol;130;210672;1;2000;1;FALSE;3;13;47;0;TRUE;65417;FALSE;M;22;$17,880;11;Van;yes;$0;0;No;0;0;1;0;970;685;968;615;910
BMW;5 Series;2020;Electric;309;48484;0;34419;1;FALSE;4;2;46;0;TRUE;104466;FALSE;M;19;$24,840;10;Minivan;yes;$0;0;No;0;0;16;0;1290,095;898,69;1188,133;704,5;1251,095
Chevrolet;Malibu;2012;Petrol;315;163423;0;2000;4;TRUE;2;7;52;0;TRUE;0;TRUE;M;62;$7,070;4;Pickup;yes;$0;0;No;2;0;1;0;1040;527,5;816;607,5;955
Nissan;Altima;2010;Petrol;286;194737;0;2000;3;FALSE;3;2;44;0;TRUE;22288;TRUE;F;14;$8,130;7;SUV;no;$0;0;No;2;0;14;0;1082;563;942,8;693;1066
BMW;X3;2020;Electric;258;41977;0;35503;1;TRUE;4;3;31;2;TRUE;47623;FALSE;F;27;$4,600;6;Sports Car;no;$35,375;3;No;0;0;1;0;1193,515;834,03;1004,921;679;1205,515
Volkswagen;Golf;2019;Diesel;167;62040;0;17796;1;TRUE;4;2;52;0;TRUE;25835;TRUE;F;53;$11,340;6;SUV;no;$0;0;No;1;0;1;0;822,98;611,46;808,172;533,5;885,98
Nissan;Altima;2008;Diesel;232;221188;0;2000;2;FALSE;1;2;51;0;TRUE;46993;TRUE;F;40;$11,300;1;Minivan;no;$4,219;4;No;3;0;6;0;974;536;899,6;566;872
Volkswagen;Passat;2021;Diesel;133;31524;0;23847;1;TRUE;5;1;35;0;TRUE;71379;FALSE;M;34;$22,010;10;Van;yes;$31,039;2;Yes;3;3840;9;1;785,235;554,97;873,329;616,5;1022,235
Ford;Mustang;2018;Diesel;280;73265;0;15173;1;TRUE;3;6;49;0;TRUE;37414;TRUE;F;32;$10,260;3;SUV;no;$7,105;2;No;9;2527;1;1;1035,865;641,73;880,211;590;985,865
Tesla;Model S;2012;Electric;884;170485;0;2000;3;TRUE;2;11;53;0;TRUE;161395;TRUE;M;40;$22,940;4;Minivan;no;$0;0;No;2;0;11;0;2178;712;1321,2;992;1664
Ford;Explorer;2022;Diesel;424;10854;0;27414;1;FALSE;4;1;31;1;TRUE;83316;FALSE;F;12;$37,720;6;Panel Truck;no;$0;0;No;5;19970;1;1;1535,07;986,14;1181,098;712;1261,07
Toyota;Highlander;2005;Petrol;285;273006;0;2000;1;FALSE;5;15;50;0;TRUE;21262;FALSE;F;22;$1,930;1;Sports Car;no;$0;0;No;3;0;8;0;1080;562,5;942;692,5;1065
Tesla;Model X;2014;Electric;474;129686;3;5885;3;TRUE;2;4;48;0;TRUE;16468;TRUE;F;19;$16,540;1;SUV;no;$0;0;No;0;0;1;0;1977,425;945,85;1570,395;987;1553,425
Nissan;Sentra;2023;Diesel;271;5000;0;29500;1;FALSE;3;1;51;0;TRUE;81948;TRUE;F;5;$7,850;6;Sports Car;no;$2,219;1;No;0;0;1;0;1189,5;930,5;1073,3;585,5;1048,5
Ford;Mustang;2022;Diesel;390;16580;0;26842;1;TRUE;3;2;53;0;TRUE;139307;TRUE;M;5;$21,910;6;Van;yes;$0;0;No;0;0;18;0;1314,21;713,42;1099,894;745;1294,21
Volkswagen;Tiguan;2013;Petrol;244;145603;0;2000;3;FALSE;5;6;54;0;TRUE;74398;FALSE;F;49;$14,340;3;Sports Car;no;$0;0;No;1;0;1;0;998;642;859,2;572;884
Tesla;Model 3;2003;Electric;666;307542;2;2000;2;FALSE;1;7;47;0;TRUE;108139;FALSE;F;46;$17,440;11;Minivan;no;$3,924;1;No;2;0;12;0;2242;953;1646,8;1083;1726
Nissan;Altima;2023;Hybrid;293;5000;0;29500;1;TRUE;1;1;43;2;TRUE;83803;FALSE;F;31;$19,050;7;SUV;no;$1,670;2;No;2;6879;0;1;1233,5;791,5;990,9;696,5;1210,5
Toyota;Corolla;2020;Hybrid;294;50783;0;20421;1;FALSE;3;4;48;0;TRUE;45916;FALSE;M;27;$9,160;4;Pickup;no;$3,424;1;No;5;0;1;0;1190,105;851,21;1028,147;597;1026,105
Toyota;Camry;2018;Hybrid;274;69141;0;15585;1;TRUE;2;1;38;0;FALSE;;TRUE;F;48;$16,810;1;Minivan;no;$0;0;No;1;0;14;0;1025,925;542,85;928,295;687;1121,925
Ford;F-150;2023;Hybrid;384;5000;0;29500;1;FALSE;2;1;30;1;TRUE;0;FALSE;F;37;$4,500;1;Sports Car;no;$4,749;3;No;7;0;6;0;1465,5;887;1213,7;692;1231,5
Toyota;Highlander;2022;Hybrid;272;15900;0;26910;1;TRUE;5;2;45;0;TRUE;191870;FALSE;M;28;$5,900;6;Pickup;yes;$0;0;No;1;0;14;0;1078,55;655,1;1005,97;686;1176,55
Toyota;Prius;2010;Hybrid;242;191242;2;2000;1;FALSE;2;14;37;0;TRUE;;TRUE;F;36;$7,550;6;SUV;no;$0;0;Yes;0;1499;1;1;1394;841;1257,6;771;1162
Honda;CR-V;2010;Petrol;200;199418;0;2000;1;FALSE;3;13;43;1;TRUE;154611;FALSE;M;53;$31,830;10;Minivan;yes;$0;0;Yes;0;0;19;0;960;520;874;700;1050
BMW;3 Series;2023;Diesel;408;5024;0;49162;1;TRUE;3;1;43;0;TRUE;43032;TRUE;M;44;$12,490;7;Minivan;yes;$0;0;No;0;0;1;0;1461,81;1045,62;1220,534;654;1283,81
Chevrolet;Equinox;2017;Hybrid;302;79527;0;13047;1;FALSE;4;7;51;0;TRUE;26114;FALSE;F;36;$9,780;6;Minivan;no;$1,867;2;No;0;3291;8;1;1169,235;681,47;1032,929;701;1137,235
Nissan;Rogue;2006;Petrol;245;255072;1;2000;4;FALSE;1;17;56;0;TRUE;38389;FALSE;F;21;$1,500;6;SUV;no;$0;0;No;0;0;13;0;1200;642,5;1110;772,5;1165
BMW;X3;2014;Petrol;438;137977;0;4503;1;TRUE;4;10;28;3;TRUE;98485;TRUE;M;71;$22,490;1;Van;yes;$0;0;No;2;0;0;0;1448,515;614,03;931,921;819;1300,515
Volkswagen;Jetta;2005;Petrol;266;265234;0;2000;3;FALSE;1;6;44;2;FALSE;63215;TRUE;F;9;$12,930;6;SUV;no;$7,746;1;No;5;6170;10;1;1142;553;926,8;783;1186
Nissan;Pathfinder;2021;Diesel;275;36229;0;23377;1;TRUE;2;2;42;3;TRUE;35586;TRUE;M;29;$5,060;10;Pickup;no;$24,208;1;Yes;5;4236;1;1;1216,885;721,27;933,639;737,5;1231,885
Honda;Accord;2014;Diesel;138;135017;2;2998;2;TRUE;4;7;27;3;TRUE;14461;TRUE;F;30;$9,990;1;SUV;no;$0;0;Yes;2;8107;1;1;1240,99;648,98;1081,386;869;1272,99
Nissan;Rogue;2005;Petrol;242;277103;0;2000;4;FALSE;2;7;46;0;TRUE;128026;TRUE;F;27;$21,170;6;Pickup;no;$0;0;No;0;0;0;0;994;641;857,6;571;882
Toyota;Camry;2004;Petrol;295;287105;0;2000;3;FALSE;3;9;43;0;TRUE;;FALSE;F;37;$16,650;1;Sports Car;no;$0;0;No;0;0;1;0;1100;667,5;900;597,5;935
BMW;X3;2022;Electric;240;20257;0;44123;1;TRUE;1;2;47;0;TRUE;45669;FALSE;M;34;$9,840;8;Pickup;yes;$0;0;Yes;0;0;9;0;1100,615;811,23;1100,861;670;1230,615
Volkswagen;Jetta;2000;Diesel;140;347497;0;2000;1;FALSE;2;11;34;1;TRUE;74356;TRUE;F;41;$1,500;13;SUV;no;$5,926;2;No;8;0;13;0;840;490;826;670;990
Nissan;Rogue;2016;Diesel;187;98177;0;9682;1;TRUE;1;4;33;5;TRUE;;TRUE;M;33;$18,870;13;Van;no;$40,521;2;Yes;5;0;1;0;1072,41;540,32;767,374;793,5;1215,41
Ford;Explorer;2015;Diesel;232;124764;0;5523;1;TRUE;5;6;48;0;TRUE;37095;TRUE;F;43;$7,090;6;Sports Car;no;$28,456;3;No;4;0;1;0;891,615;521,23;774,261;566;889,615
Volkswagen;Tiguan;2000;Diesel;110;340360;0;2000;2;FALSE;3;17;59;0;TRUE;137935;FALSE;M;26;$21,190;10;Minivan;no;$0;0;No;1;0;10;0;730;475;802;605;890
Volkswagen;Passat;2016;Electric;175;108952;0;8604;1;TRUE;3;5;55;0;TRUE;64603;TRUE;F;20;$13,460;10;SUV;no;$5,916;3;No;2;0;7;0;793,02;423,54;800,228;537,5;848,02
Ford;Mustang;2019;Diesel;348;54785;0;18521;1;TRUE;4;1;44;3;TRUE;;TRUE;F;39;$15,270;10;Minivan;no;$0;0;No;0;6111;16;1;1338,605;609,21;1008,047;874;1420,605
Chevrolet;Tahoe;2004;Petrol;412;281539;1;2000;1;FALSE;1;20;39;2;FALSE;159727;TRUE;M;31;$21,370;6;Minivan;no;$7,931;2;No;2;0;1;0;1634;826;1193,6;856;1332
Tesla;Model S;2007;Electric;436;245994;1;2000;2;FALSE;3;11;37;3;TRUE;29251;FALSE;F;37;$22,300;12;Minivan;no;$0;0;No;0;3514;5;1;1732;738;1262,8;918;1426
Volkswagen;Tiguan;2016;Hybrid;272;102194;0;9280;1;TRUE;4;6;45;2;TRUE;71033;TRUE;F;36;$14,330;17;Minivan;no;$0;0;No;5;0;6;0;1090,4;478,8;882,56;686;1088,4
Volkswagen;Passat;2008;Petrol;251;214672;2;2000;2;FALSE;4;16;35;0;TRUE;17562;FALSE;M;6;$14,320;10;Minivan;yes;$0;0;No;0;0;1;0;1412;845,5;1264,8;775,5;1171
Toyota;Prius;2015;Hybrid;252;115551;0;6444;1;TRUE;5;5;60;1;TRUE;102339;FALSE;F;9;$27,420;10;Van;no;$0;0;No;8;5342;11;1;986,22;440,44;846,708;726;1124,22
Volkswagen;Passat;2001;Diesel;114;339524;0;2000;1;FALSE;2;7;46;0;TRUE;26412;TRUE;M;43;$10,060;1;Pickup;yes;$8,636;3;No;5;5488;7;1;738;477;805,2;507;754
Ford;Explorer;2022;Hybrid;152;22376;0;26262;1;TRUE;3;1;57;0;TRUE;47248;TRUE;M;32;$27,690;4;Panel Truck;no;$4,179;2;No;4;0;10;0;835,31;588,62;905,434;626;1053,31
Tesla;Model 3;2011;Electric;448;177732;0;2000;3;TRUE;4;4;49;0;TRUE;;TRUE;F;26;$13,640;3;SUV;no;$0;0;No;0;0;5;0;1306;494;972,4;674;1088
Ford;Mustang;2021;Diesel;386;29461;0;24053;1;TRUE;5;1;28;2;FALSE;11550;TRUE;M;23;$6,180;1;Minivan;no;$0;0;No;0;0;1;0;1392,265;783,53;1027,171;743;1276,265
Tesla;Model Y;2013;Electric;531;143322;0;2000;1;FALSE;5;9;53;0;TRUE;74061;TRUE;M;70;$13,430;9;Minivan;no;$0;0;No;0;0;11;0;1572;685,5;1138,8;815,5;1311
Chevrolet;Tahoe;2014;Petrol;397;126369;0;3863;2;TRUE;4;10;37;2;TRUE;83419;TRUE;F;33;$9,840;10;Sports Car;no;$3,771;3;No;3;5027;1;1;1313,315;587,13;894,641;748,5;1186,315
Toyota;Corolla;2017;Hybrid;230;81390;0;12861;1;TRUE;2;2;45;0;TRUE;124745;FALSE;F;45;$27,150;6;Pickup;no;$0;0;No;2;0;0;0;924,305;593,61;824,027;565;924,305
Toyota;Corolla;2022;Hybrid;277;19132;0;26586;1;FALSE;3;1;47;0;TRUE;129926;FALSE;M;62;$15,650;4;Minivan;yes;$6,527;3;No;1;0;9;0;1186,93;804,36;1107,702;688,5;1179,93
Tesla;Model 3;2022;Electric;749;16109;0;44815;1;TRUE;2;2;40;0;TRUE;96462;FALSE;M;20;$15,150;4;Minivan;yes;$0;0;No;0;0;12;0;2122,075;1072,65;1512,905;924,5;1743,075
Nissan;Rogue;2003;Petrol;276;296266;1;2000;4;FALSE;5;21;45;0;TRUE;63457;TRUE;M;33;$28,770;1;Panel Truck;no;$4,845;2;No;5;0;8;0;1262;658;1134,8;788;1196
BMW;3 Series;2004;Diesel;280;292170;0;2000;4;FALSE;5;16;58;0;TRUE;65923;TRUE;M;30;$29,800;1;Panel Truck;yes;$3,886;2;No;2;0;8;0;1070;560;938;690;1060
Tesla;Model S;2020;Electric;789;45189;0;34968;1;TRUE;2;2;48;0;TRUE;29295;TRUE;M;28;$9,230;4;Pickup;yes;$0;0;No;6;0;1;0;2152,84;1094,18;1425,976;844,5;1593,84
Nissan;Altima;2002;Petrol;144;315400;0;2000;1;FALSE;5;20;46;0;FALSE;60213;TRUE;M;29;$22,630;1;Minivan;yes;$0;0;No;2;0;7;0;798;492;829,2;522;784
Nissan;Rogue;2017;Diesel;123;87528;0;12247;1;TRUE;5;7;32;0;TRUE;36763;TRUE;M;12;$6,550;7;Pickup;yes;$7,475;1;No;4;0;5;0;707,235;433,97;784,129;511,5;814,235
BMW;X3;2006;Petrol;236;253109;1;2000;4;FALSE;3;4;54;0;TRUE;93400;TRUE;M;26;$16,240;6;Van;yes;$9,866;1;No;0;0;1;0;1182;738;1052,8;668;1016
Honda;Accord;2017;Electric;187;89702;0;12029;1;TRUE;5;4;51;0;TRUE;71939;FALSE;M;14;$13,790;1;Minivan;no;$0;0;No;2;0;8;0;834,145;463,79;833,803;643,5;1017,145
Nissan;Pathfinder;2016;Hybrid;280;99356;0;9564;1;TRUE;1;1;48;0;TRUE;;TRUE;F;34;$11,020;1;SUV;no;$8,727;1;No;5;0;10;0;1007,82;485,64;890,948;690;1097,82
Volkswagen;Golf;2023;Hybrid;136;5000;0;29500;1;TRUE;4;1;39;0;TRUE;103073;FALSE;F;29;$28,750;1;Pickup;no;$0;0;No;0;0;1;0;819,5;713;865,3;518;913,5
Ford;Escape;2009;Petrol;245;207328;1;2000;3;FALSE;5;9;42;1;TRUE;80130;TRUE;M;6;$5,700;4;Minivan;yes;$34,020;1;Yes;9;3674;1;1;1250;742,5;1060;722,5;1095
BMW;3 Series;2019;Diesel;421;48510;0;31915;1;FALSE;2;3;53;0;TRUE;10232;TRUE;F;33;$24,470;16;Minivan;no;$5,458;2;No;3;0;18;0;1501,575;929,65;1260,205;760,5;1350,575
Toyota;Prius;2003;Petrol;125;295244;0;2000;2;FALSE;5;10;39;0;TRUE;67011;FALSE;F;39;$25,740;1;Van;no;$10,535;1;No;4;0;1;0;760;582,5;764;512,5;765
Tesla;Model X;2007;Electric;469;236738;1;2000;4;FALSE;4;1;44;0;TRUE;0;FALSE;F;72;$20,230;1;Minivan;no;$0;0;No;0;0;8;0;1648;754,5;1289,2;884,5;1389
Tesla;Model Y;2003;Electric;442;307310;0;2000;4;FALSE;4;3;56;2;FALSE;99186;TRUE;M;35;$16,820;3;Van;yes;$0;0;No;1;0;9;0;1494;641;1067,6;871;1362
Volkswagen;Golf;2015;Diesel;122;116491;0;6350;1;TRUE;5;3;49;0;TRUE;165193;FALSE;F;29;$27,170;1;Pickup;no;$0;0;Yes;0;0;17;0;675,75;400;742,05;611;923,75
Tesla;Model Y;2004;Electric;591;286583;1;2000;2;FALSE;1;2;43;2;TRUE;10859;TRUE;F;45;$19,150;6;Van;no;$0;0;No;3;0;4;0;1992;915,5;1336,8;945,5;1511
Tesla;Model X;2017;Electric;319;92654;0;19557;1;TRUE;2;4;46;0;TRUE;98572;FALSE;M;27;$17,020;1;Van;no;$4,538;2;No;7;3180;10;1;1135,785;605,07;992,099;709,5;1186,785
Tesla;Model Y;2004;Electric;652;286044;0;2000;4;FALSE;4;15;37;2;TRUE;80183;FALSE;F;22;$15,500;4;Minivan;no;$8,385;1;No;7;3439;12;1;1914;746;1235,6;976;1572
Tesla;Model Y;2015;Electric;938;121637;0;9727;1;FALSE;2;7;33;3;TRUE;27939;FALSE;F;18;$4,290;10;Sports Car;no;$0;0;No;0;0;6;0;2574,635;966,27;1518,489;1069;1826,635
Honda;Accord;2009;Petrol;241;215987;1;2000;3;FALSE;3;13;37;2;TRUE;36073;TRUE;M;32;$22,690;6;Panel Truck;yes;$8,193;4;No;5;0;6;0;1292;640,5;1106,8;770,5;1161
Toyota;Camry;2014;Hybrid;150;140512;0;2448;1;TRUE;2;4;22;0;TRUE;0;FALSE;M;22;$3,700;3;Minivan;yes;$0;0;No;0;5430;1;1;912,24;449,48;687,136;525;792,24
Chevrolet;Equinox;2021;Diesel;379;24600;0;24540;1;FALSE;4;3;44;2;TRUE;142551;FALSE;F;16;$5,900;11;Sports Car;no;$39,019;1;No;8;0;18;0;1480,7;834,9;1174,98;839,5;1411,7
Toyota;Camry;2012;Hybrid;223;170406;0;2000;3;FALSE;1;1;55;0;TRUE;24785;TRUE;F;63;$9,480;1;Sports Car;no;$3,587;3;No;0;0;9;0;956;531,5;892,4;661,5;1003
Ford;Explorer;2017;Hybrid;150;91581;0;11841;1;TRUE;3;1;60;0;TRUE;0;TRUE;F;30;$7,500;4;SUV;no;$8,739;1;No;4;3736;1;1;759,205;543,41;752,887;525;839,205
Honda;CR-V;2020;Hybrid;111;37835;0;21716;1;TRUE;1;2;36;2;TRUE;20926;TRUE;M;23;$9,000;6;Pickup;no;$37,689;1;Yes;7;0;1;0;830,58;622,66;790,812;605,5;989,58
Toyota;Corolla;2011;Petrol;269;177881;3;2000;2;FALSE;3;1;60;0;TRUE;89504;FALSE;F;50;$10,450;6;SUV;no;$893;2;No;5;0;19;0;1648;854,5;1529,2;984,5;1469
Ford;Mustang;2017;Diesel;385;95503;0;11449;1;TRUE;3;6;53;0;TRUE;34455;FALSE;M;62;$28,170;11;Panel Truck;no;$0;0;No;1;0;15;0;1227,245;556,99;988,143;742,5;1212,245
Honda;Accord;2012;Petrol;270;162769;0;2000;3;TRUE;4;1;45;2;TRUE;26681;FALSE;F;10;$14,560;1;SUV;no;$0;0;No;3;0;13;0;1050;405;830;785;1190
Nissan;Sentra;2002;Diesel;213;318977;0;2000;4;FALSE;3;20;43;1;TRUE;57170;TRUE;F;41;$26,320;9;Minivan;no;$25,804;2;No;0;0;1;0;986;626,5;834,4;606,5;923
