Make;Model;Manufacturing Year;Fuel Type;Engine Power (HP);Mileage (km);Number of Accidents;Market Value ($);Total Owners;Has Dashcam;Vehicles in Family;Driving Experience;ID;FIRST_NAME;LAST_NAME;AGE;HOMEKIDS;EMPLOYED;INCOME;MSTATUS;GENDER;TRAVTIME;BLUEBOOK;TIF;CAR_TYPE;RED_CAR;OLDCLAIM;CLM_FREQ;REVOKED;MVR_PTS;CLM_AMT;CAR_AGE;CLAIM_FLAG
Ford;F-150;2011;Diesel;287;184125;0;2000;1;FALSE;1;10;837810448;;;46;0;TRUE;$35,231;TRUE;F;34;$5,020;4;SUV;no;$0;0;No;1;$0;9;0
Toyota;Camry;2005;Petrol;255;269446;0;2000;4;FALSE;5;7;27330951;;;41;2;TRUE;$53,358;FALSE;M;30;$15,930;1;Minivan;no;$0;0;No;0;$0;6;0
BMW;X3;2015;Diesel;347;123393;0;9434;1;TRUE;3;6;22905935;;;53;0;TRUE;$74,295;TRUE;M;50;$10,330;10;Pickup;yes;$6,550;4;No;2;$0;9;0
Chevrolet;Equinox;2014;Diesel;340;135144;2;2985;4;TRUE;3;4;67013861;;;54;0;TRUE;$101,450;FALSE;F;25;$17,050;13;SUV;no;$6,941;2;No;0;$0;13;0
Chevrolet;Tahoe;2015;Petrol;204;121944;0;5805;1;TRUE;5;4;813480713;;;36;0;TRUE;$64,755;TRUE;M;57;$23,420;4;Panel Truck;no;$3,174;2;No;4;$3,636;1;1
Tesla;Model S;2016;Electric;713;104190;0;15134;1;TRUE;2;5;734389179;;;47;0;TRUE;$59,963;TRUE;M;18;$24,400;6;Panel Truck;yes;$23,116;3;Yes;0;$0;9;0
Toyota;Camry;2017;Hybrid;162;91528;0;11847;1;TRUE;2;4;69839542;;;39;0;TRUE;$92,139;TRUE;M;11;$20,300;3;Van;yes;$0;0;No;0;$0;14;0
Ford;F-150;2000;Diesel;365;338776;2;2000;3;FALSE;2;13;64222599;;;31;0;TRUE;$14,195;FALSE;M;34;$5,480;18;Minivan;yes;$6,350;1;No;5;$5,963;1;1
Chevrolet;Silverado;2016;Diesel;225;105858;0;8914;1;TRUE;4;5;969203246;;;49;0;TRUE;;TRUE;F;40;$14,590;4;Minivan;no;$0;0;No;0;$0;;0
Honda;Pilot;2021;Diesel;203;38606;0;23139;1;TRUE;1;3;632275180;;;50;0;TRUE;$41,696;FALSE;F;23;$24,920;1;SUV;no;$6,902;1;No;6;$41,077;11;1
Toyota;Highlander;2014;Petrol;258;139114;0;2588;1;TRUE;5;8;58307018;;;31;1;TRUE;$0;TRUE;M;29;$21,390;1;Van;yes;$0;0;No;0;$4,552;1;1
Toyota;Camry;2013;Petrol;202;151000;0;2000;2;FALSE;4;5;894537452;;;53;0;TRUE;$41,557;TRUE;F;7;$24,970;10;Minivan;no;$0;0;No;0;$0;6;0
Ford;Explorer;2011;Petrol;192;183789;3;2000;3;TRUE;3;1;36109311;;;59;0;TRUE;$85,596;TRUE;F;53;$15,960;1;SUV;no;$0;0;No;0;$2,545;14;1
Tesla;Model S;2008;Electric;892;222017;0;2000;1;FALSE;3;10;509297818;;;41;0;TRUE;$37,196;FALSE;M;34;$14,420;7;Minivan;yes;$7,869;4;No;3;$0;11;0
Tesla;Model X;2008;Electric;848;223786;0;2000;4;FALSE;3;12;686482764;;;55;0;TRUE;$39,833;TRUE;F;32;$5,480;12;Sports Car;no;$8,806;1;No;3;$3,111;1;1
Ford;Mustang;2000;Petrol;225;346803;0;2000;1;FALSE;5;21;10677450;;;47;0;TRUE;$87,887;FALSE;F;23;$6,200;4;Sports Car;no;$6,841;1;No;0;$0;14;0
Honda;Civic;2023;Electric;135;6710;0;29329;1;FALSE;3;1;636340714;;;45;0;TRUE;$177,365;TRUE;F;20;$49,940;7;Sports Car;no;$0;0;No;3;$0;14;0
Chevrolet;Equinox;2005;Diesel;352;266492;1;2000;1;FALSE;5;14;696313030;;;44;0;TRUE;$18,189;TRUE;M;12;$17,350;10;Van;no;$0;0;No;0;$0;8;0
Chevrolet;Silverado;2020;Diesel;200;44600;0;21040;1;TRUE;3;3;989327679;;;51;0;TRUE;$15,732;TRUE;F;45;$1,500;1;SUV;no;$5,379;3;No;7;$4,298;12;1
Chevrolet;Tahoe;2021;Diesel;420;22106;0;24789;1;TRUE;4;1;511881932;;;50;0;TRUE;$40,685;TRUE;F;65;$15,360;6;SUV;no;$0;0;No;2;$4,623;5;1
Chevrolet;Tahoe;2013;Petrol;372;142188;0;2000;1;TRUE;2;11;306976325;;;48;0;TRUE;$38,939;FALSE;M;28;$31,970;4;Panel Truck;no;$0;0;No;1;$0;11;0
Tesla;Model X;2009;Electric;961;217651;0;2000;3;FALSE;4;5;476896351;;;28;1;TRUE;$4,843;FALSE;M;21;$1,980;9;Minivan;yes;$3,018;3;No;5;$0;1;0
Toyota;Highlander;2020;Hybrid;136;42750;0;21225;1;FALSE;5;2;656190149;;;55;0;TRUE;$63,376;TRUE;F;25;$25,450;13;Minivan;no;$0;0;No;0;$0;14;0
Toyota;Prius;2013;Hybrid;150;151812;1;2000;1;TRUE;5;1;867204089;;;43;3;TRUE;$61,852;TRUE;F;30;$1,500;6;Sports Car;no;$0;0;No;0;$0;1;0
Ford;Explorer;2018;Electric;415;69925;0;15507;1;TRUE;4;1;260824501;;;43;0;TRUE;$35,293;FALSE;F;28;$9,330;6;SUV;no;$0;0;No;0;$0;1;0
Chevrolet;Tahoe;2019;Diesel;286;59298;0;18070;1;TRUE;3;2;428282729;;;37;2;TRUE;$31,212;TRUE;M;36;$10,100;1;Pickup;yes;$11,626;2;No;0;$2,222;1;1
Honda;CR-V;2004;Petrol;175;279869;0;2000;2;FALSE;2;12;392391126;;;44;3;TRUE;;TRUE;F;34;$8,700;1;Minivan;no;$5,944;2;No;0;$0;1;0
Chevrolet;Malibu;2020;Diesel;250;44601;0;21039;1;TRUE;5;3;277471268;;;53;2;FALSE;$29,080;TRUE;M;34;$14,650;3;Minivan;yes;$0;0;No;0;$2,037;1;1
Ford;Explorer;2012;Diesel;335;154223;0;2000;4;TRUE;1;5;575831555;;;41;1;TRUE;$65,185;TRUE;F;12;$17,220;10;Minivan;no;$28,753;1;No;2;$0;6;0
Nissan;Pathfinder;2021;Diesel;248;31339;0;23866;1;FALSE;5;3;12136446;;;36;3;TRUE;$20,921;TRUE;M;71;$25,280;11;Minivan;yes;$0;0;No;0;$0;1;0
Tesla;Model Y;2023;Electric;832;5000;0;49166;1;TRUE;4;1;983644114;;;62;3;TRUE;$43,410;TRUE;M;43;$15,400;1;Minivan;yes;$10,086;3;No;0;$0;14;0
Chevrolet;Malibu;2017;Diesel;158;89883;0;12011;1;TRUE;1;2;351071250;;;45;2;TRUE;$4,271;TRUE;F;50;$1,930;6;SUV;no;$0;0;No;0;$0;8;0
Volkswagen;Jetta;2022;Diesel;160;5000;0;28000;1;TRUE;1;2;490621422;;;37;2;TRUE;$82,971;TRUE;F;40;$23,710;1;Pickup;no;$0;0;No;2;$4,549;13;1
Honda;Accord;2020;Diesel;156;48113;0;20688;1;FALSE;1;1;322894279;;;45;0;TRUE;$84,028;FALSE;M;50;$23,280;6;Panel Truck;yes;$1,749;1;No;5;$0;17;0
Toyota;Prius;2021;Hybrid;229;19515;0;25048;1;FALSE;2;1;444385459;;;47;0;TRUE;$123,715;TRUE;M;27;$4,300;7;Minivan;no;$0;0;No;0;$0;16;0
BMW;X3;2021;Hybrid;188;23289;0;41118;1;TRUE;5;1;176803699;;;42;2;TRUE;$72,710;FALSE;F;67;$18,710;10;Sports Car;no;$0;0;No;1;$0;12;0
Honda;Pilot;2016;Diesel;140;107007;0;8799;1;FALSE;1;2;97750917;;;47;0;TRUE;$30,960;TRUE;F;31;$9,300;4;Sports Car;no;$0;0;No;0;$0;4;0
Chevrolet;Equinox;2012;Diesel;238;159285;3;2000;4;TRUE;4;4;635871014;;;31;3;TRUE;;FALSE;F;5;$23,160;3;SUV;no;$2,985;3;No;4;$0;12;0
Volkswagen;Tiguan;2007;Diesel;143;238399;2;2000;3;FALSE;5;7;681443164;;;45;0;TRUE;$83,111;FALSE;M;31;$23,790;1;Minivan;no;$7,017;1;No;5;$0;7;0
BMW;X5;2017;Diesel;332;94701;0;19216;1;TRUE;4;5;122456408;;;37;0;TRUE;$93,190;TRUE;M;34;$31,180;6;Panel Truck;yes;$0;0;No;0;$0;23;0
Ford;Explorer;2019;Diesel;216;57462;0;18253;1;FALSE;5;3;708077771;;;33;1;TRUE;$36,354;TRUE;M;26;$18,730;13;Van;yes;$0;0;No;0;$0;7;0
Nissan;Altima;2022;Hybrid;186;12494;0;27250;1;TRUE;3;2;600941278;;;47;0;TRUE;$68,061;TRUE;M;35;$16,580;9;Van;yes;$8,085;4;No;6;$0;13;0
Tesla;Model 3;2019;Electric;382;65301;0;29116;1;FALSE;3;5;193424818;;;38;3;TRUE;$0;TRUE;F;11;$5,300;4;Sports Car;no;$0;0;No;0;$0;1;0
Volkswagen;Passat;2017;Hybrid;169;89389;0;12061;1;TRUE;2;6;361665026;;;33;3;TRUE;$74,546;TRUE;M;22;$12,250;1;Minivan;no;$3,961;3;No;5;$0;9;0
BMW;3 Series;2011;Petrol;277;191194;1;2000;4;FALSE;2;8;756103596;;;46;0;TRUE;$56,006;TRUE;M;52;$11,700;6;Pickup;yes;$712;1;No;6;$6,542;8;1
Toyota;Corolla;2010;Hybrid;242;200030;0;2000;3;FALSE;1;7;606041694;;;38;3;TRUE;$51,620;FALSE;F;50;$10,460;9;Minivan;no;$0;0;Yes;0;$3,897;6;1
Honda;CR-V;2016;Diesel;168;113554;0;8144;1;TRUE;3;7;478695816;;;55;0;TRUE;$35,916;TRUE;F;31;$17,290;1;SUV;no;$46,761;1;Yes;6;$6,113;5;1
Honda;Accord;2018;Hybrid;121;75663;0;14933;1;FALSE;1;4;574513469;;;55;0;TRUE;$97,890;TRUE;M;10;$25,040;4;Minivan;yes;$0;0;No;0;$0;18;0
Tesla;Model Y;2023;Electric;965;5000;0;49166;1;TRUE;4;1;58776949;;;38;3;TRUE;$9,173;TRUE;M;14;$6,220;6;Pickup;no;$0;0;No;0;$0;1;0
Toyota;Corolla;2007;Petrol;285;232075;1;2000;2;FALSE;4;6;161544930;;;31;3;TRUE;$71,738;TRUE;F;93;$5,750;1;Sports Car;no;$0;0;No;0;$0;10;0
Chevrolet;Silverado;2022;Hybrid;230;10234;0;27476;1;TRUE;4;1;592690820;;;48;0;TRUE;;FALSE;F;47;$20,860;1;SUV;no;$6,038;1;No;8;$4,751;12;1
Volkswagen;Jetta;2013;Diesel;159;151889;1;2000;4;TRUE;5;7;621496694;;;30;1;TRUE;$88,305;TRUE;F;5;$19,710;3;SUV;no;$0;0;No;0;$0;20;0
Nissan;Altima;2022;Diesel;240;14270;0;27073;1;TRUE;3;1;398984508;;;46;0;TRUE;$90,232;FALSE;F;42;$15,780;1;SUV;no;$0;0;No;1;$0;14;0
Toyota;Camry;2011;Petrol;296;186677;3;2000;3;TRUE;2;9;57346072;;;42;0;TRUE;$101,636;FALSE;F;36;$24,890;14;Pickup;no;$1,452;2;No;7;$7,311;11;1
Honda;Accord;2017;Diesel;274;92939;0;11706;1;TRUE;3;5;74322645;;;44;1;TRUE;$173,412;TRUE;M;16;$41,710;6;Panel Truck;no;$0;0;No;0;$0;14;0
Nissan;Sentra;2016;Diesel;200;100040;0;9496;1;FALSE;2;3;30585255;;;36;3;TRUE;$167,971;TRUE;M;33;$5,100;6;Pickup;yes;$2,769;1;No;0;$5,396;13;1
Toyota;Camry;2017;Hybrid;206;89111;0;12088;1;TRUE;4;4;23615805;;;43;0;TRUE;$61,949;TRUE;M;17;$11,990;4;Minivan;no;$0;0;No;2;$0;10;0
BMW;X3;2019;Electric;435;63016;0;29497;1;TRUE;3;2;698414529;;;53;0;TRUE;$0;TRUE;M;45;$6,800;6;Minivan;no;$0;0;No;3;$0;24;0
Honda;Civic;2012;Petrol;170;169103;0;2000;3;TRUE;3;12;142342235;;;45;3;TRUE;$207,123;FALSE;F;42;$34,320;1;Pickup;no;$583;4;No;3;$0;5;0
Honda;CR-V;2016;Electric;118;109201;0;8579;1;TRUE;2;2;898038749;;;41;0;TRUE;$21,651;FALSE;F;24;$25,640;1;Pickup;no;$0;0;No;1;$4,720;1;1
BMW;3 Series;2015;Petrol;335;114126;0;10979;1;TRUE;4;1;195066900;;;46;0;TRUE;$75,983;TRUE;M;17;$22,100;4;Van;yes;$0;0;No;0;$0;14;0
Tesla;Model S;2013;Electric;481;153153;0;2000;2;TRUE;5;8;101731472;;;35;2;TRUE;$29,250;TRUE;F;45;$23,380;1;Pickup;no;$0;0;No;1;$0;7;0
Ford;Explorer;2016;Diesel;210;111625;0;8337;1;FALSE;2;5;813953295;;;43;0;TRUE;$70,352;TRUE;M;43;$17,380;10;Van;yes;$0;0;No;0;$0;;0
Tesla;Model 3;2008;Electric;789;226129;1;2000;4;FALSE;2;7;845473829;;;43;0;TRUE;$24,382;TRUE;M;31;$8,240;1;Pickup;yes;$0;0;No;0;$0;1;0
Chevrolet;Tahoe;2022;Electric;227;14534;0;27046;1;TRUE;2;2;667069495;;;41;3;TRUE;;TRUE;F;38;$11,510;17;SUV;no;$7,383;1;No;2;$0;6;0
Volkswagen;Tiguan;2018;Electric;187;69562;0;15543;1;FALSE;3;3;363208227;;;47;0;TRUE;;TRUE;F;17;$18,400;9;SUV;no;$0;0;No;1;$2,601;9;1
Toyota;Highlander;2007;Hybrid;120;237144;2;2000;1;FALSE;1;1;717945707;;;49;1;TRUE;$98,175;TRUE;F;27;$16,220;3;Minivan;no;$0;0;No;0;$0;15;0
Toyota;Corolla;2013;Petrol;265;148507;2;2000;1;TRUE;3;3;901710077;;;40;1;TRUE;$89,348;TRUE;F;48;$18,150;6;Pickup;no;$0;0;No;2;$0;14;0
Honda;CR-V;2016;Diesel;167;102124;0;9287;1;TRUE;1;7;277764598;;;38;0;TRUE;$2,726;TRUE;M;51;$1,770;1;Minivan;no;$0;0;No;0;$7,534;1;1
Nissan;Pathfinder;2011;Petrol;245;183020;0;2000;1;FALSE;4;2;166240500;;;45;0;TRUE;$26,237;FALSE;F;26;$29,420;6;Pickup;no;$0;0;No;2;$0;1;0
Tesla;Model S;2008;Electric;780;217054;1;2000;1;FALSE;1;2;62746989;;;39;0;TRUE;$51,814;FALSE;F;28;$15,170;10;Sports Car;no;$5,446;1;No;0;$0;15;0
Toyota;Camry;2005;Petrol;274;268015;0;2000;3;FALSE;5;5;525535873;;;52;0;TRUE;$112,512;FALSE;M;33;$37,550;3;Panel Truck;yes;$0;0;No;2;$19,867;14;1
BMW;5 Series;2016;Diesel;417;109926;0;14178;1;FALSE;5;4;619949605;;;37;1;TRUE;$65,402;TRUE;F;62;$11,740;1;Sports Car;no;$0;0;No;0;$0;7;0
Tesla;Model S;2005;Electric;804;264111;0;2000;4;FALSE;5;3;157518199;;;44;2;TRUE;$78,850;TRUE;M;40;$24,730;4;Panel Truck;no;$0;0;No;0;$3,929;12;1
Chevrolet;Silverado;2001;Petrol;414;342818;0;2000;1;FALSE;2;9;371698337;;;57;0;TRUE;$151,528;FALSE;M;31;$14,280;6;Minivan;yes;$29,378;2;No;0;$0;9;0
BMW;X5;2004;Petrol;369;289424;0;2000;2;FALSE;3;10;169244879;;;51;0;TRUE;$45,771;TRUE;M;61;$13,760;6;Minivan;yes;$0;0;No;0;$0;1;0
Ford;Escape;2005;Petrol;401;272564;0;2000;2;FALSE;5;1;430441105;;;49;0;TRUE;$43,560;TRUE;M;35;$10,760;4;Pickup;yes;$0;0;No;0;$0;7;0
Toyota;Corolla;2016;Hybrid;215;104904;0;9009;1;TRUE;3;6;605237938;;;40;0;TRUE;$164,028;FALSE;M;5;$14,800;1;Minivan;no;$0;0;No;0;$0;10;0
BMW;X5;2016;Hybrid;309;110315;0;14114;1;TRUE;5;4;186788748;;;48;0;TRUE;$0;TRUE;F;24;$19,250;13;Sports Car;no;$5,245;2;No;2;$0;1;0
Nissan;Rogue;2020;Diesel;224;39635;0;21536;1;FALSE;1;4;417937551;;;33;3;TRUE;$39,662;TRUE;F;27;$11,470;3;SUV;no;$2,248;3;No;8;$45,338;8;1
Toyota;Corolla;2018;Hybrid;147;82200;0;14280;1;TRUE;3;1;471663062;;;46;0;TRUE;$82,398;TRUE;M;19;$19,240;4;Van;no;$0;0;Yes;0;$0;15;0
Volkswagen;Passat;2011;Diesel;259;184153;1;2000;2;TRUE;2;6;103293644;;;32;1;TRUE;$36,179;FALSE;F;12;$13,030;1;Sports Car;no;$0;0;No;0;$4,307;6;1
Toyota;Prius;2021;Electric;203;27136;0;24286;1;FALSE;3;3;294816298;;;36;2;TRUE;$130,540;FALSE;F;5;$35,990;1;Van;no;$0;0;Yes;0;$0;9;0
Honda;Pilot;2000;Petrol;172;340970;2;2000;1;FALSE;5;19;292071650;;;39;2;TRUE;$24,546;TRUE;F;5;$3,950;4;SUV;no;$4,227;2;No;0;$0;10;0
Tesla;Model S;2016;Electric;947;114824;0;13362;1;TRUE;3;6;933243471;;;53;0;FALSE;;FALSE;M;24;$17,570;6;Minivan;yes;$6,616;2;No;7;$0;;0
Ford;Mustang;2011;Petrol;424;180721;2;2000;3;TRUE;1;3;314595556;;;46;0;TRUE;$123,289;TRUE;M;24;$18,430;5;Van;no;$0;0;No;0;$0;12;0
Volkswagen;Golf;2021;Hybrid;106;28042;0;24195;1;TRUE;1;2;379401970;;;63;0;TRUE;$52,739;TRUE;M;36;$13,670;9;SUV;yes;$2,085;3;No;0;$0;1;0
BMW;X5;2017;Diesel;383;94942;0;19176;1;TRUE;5;1;375087720;;;47;0;TRUE;$80,431;TRUE;M;22;$25,630;1;Panel Truck;yes;$0;0;No;0;$0;13;0
Toyota;Prius;2021;Hybrid;179;37589;0;23241;1;TRUE;4;1;694267964;;;43;1;TRUE;$110,543;FALSE;F;48;$14,110;9;SUV;no;$0;0;No;0;$0;9;0
Chevrolet;Tahoe;2015;Diesel;244;118358;0;6164;1;FALSE;1;1;890091849;;;46;0;TRUE;$125,610;TRUE;M;27;$18,660;3;Van;no;$0;0;Yes;2;$0;13;0
Nissan;Sentra;2006;Diesel;232;257655;0;2000;3;FALSE;4;9;758370952;;;55;0;TRUE;$19,694;TRUE;F;60;$8,970;4;SUV;no;$1,084;2;No;6;$0;;0
BMW;X5;2014;Diesel;312;145166;2;3305;4;TRUE;3;4;747002242;;;45;2;TRUE;$129,261;FALSE;F;52;$20,530;6;SUV;no;$25,495;2;Yes;1;$0;12;0
Chevrolet;Tahoe;2012;Petrol;406;167681;0;2000;2;TRUE;5;6;653142988;;;45;3;TRUE;;TRUE;F;38;$19,360;7;Sports Car;no;$0;0;No;0;$4,974;;1
Nissan;Pathfinder;2004;Diesel;279;289573;3;2000;2;FALSE;4;19;388360189;;;50;0;TRUE;$167,365;FALSE;M;48;$35,640;4;Panel Truck;yes;$0;0;No;1;$0;;0
Toyota;Camry;2013;Hybrid;134;148814;1;2000;3;TRUE;2;3;296440535;;;55;0;TRUE;$68,204;TRUE;F;23;$13,820;4;Minivan;no;$0;0;No;1;$0;;0
Chevrolet;Malibu;2018;Diesel;201;72051;0;15294;1;TRUE;3;4;733070656;;;26;1;TRUE;$35,262;FALSE;M;25;$15,110;3;Minivan;yes;$0;0;No;0;$8,697;1;1
Tesla;Model 3;2000;Electric;941;342471;2;2000;4;FALSE;2;19;619748463;;;57;0;TRUE;;TRUE;M;7;$21,550;3;Minivan;no;$42,944;1;Yes;0;$6,255;1;1
BMW;X3;2018;Hybrid;332;76134;0;24811;1;TRUE;5;5;699677378;;;38;0;TRUE;$83,304;TRUE;F;10;$17,600;4;Pickup;no;$8,109;2;No;1;$0;17;0
Honda;CR-V;2022;Diesel;254;10235;0;27476;1;FALSE;4;2;474659214;;;48;0;TRUE;$0;TRUE;M;45;$6,300;1;Pickup;no;$0;0;No;0;$0;7;0
Volkswagen;Passat;2018;Electric;165;77706;0;14729;1;TRUE;3;6;848429245;;;55;0;TRUE;$133,318;TRUE;M;20;$33,470;1;Minivan;no;$0;0;No;0;$0;13;0
Ford;Escape;2018;Electric;435;79154;0;14584;1;TRUE;5;6;382198324;;;52;0;TRUE;$43,393;TRUE;F;23;$21,250;1;Minivan;no;$30,910;2;Yes;1;$0;1;0
BMW;X5;2010;Diesel;276;198175;2;2000;2;FALSE;5;2;310091630;;;54;0;TRUE;$48,952;TRUE;F;21;$25,010;1;Minivan;no;$0;0;No;0;$0;8;0
BMW;X5;2001;Petrol;420;329225;0;2000;2;FALSE;5;19;945144015;;;44;0;TRUE;$84,015;FALSE;M;45;$12,230;14;Minivan;no;$5,571;2;No;0;$0;9;0
Volkswagen;Jetta;2002;Petrol;139;310472;2;2000;2;FALSE;4;21;755684786;;;39;0;TRUE;$33,893;TRUE;F;39;$10,650;1;SUV;no;$20,631;2;No;7;$0;1;0
Ford;Explorer;2000;Diesel;442;345911;1;2000;4;FALSE;5;13;781240853;;;40;1;TRUE;$12,570;TRUE;F;20;$12,710;1;SUV;no;$6,722;2;No;3;$0;7;0
Tesla;Model S;2017;Electric;732;94356;0;19273;1;TRUE;5;4;652896608;;;62;0;TRUE;$2,861;TRUE;F;39;$23,740;11;Sports Car;no;$0;0;No;2;$0;11;0
Honda;Civic;2017;Electric;262;85723;0;12427;1;FALSE;4;5;50881055;;;50;0;TRUE;$68,801;FALSE;M;27;$19,710;7;Van;no;$0;0;No;0;$0;1;0
Tesla;Model 3;2018;Electric;767;74407;0;25098;1;FALSE;2;4;845045346;;;55;0;TRUE;$117,066;TRUE;M;48;$13,210;7;Minivan;yes;$3,029;3;No;0;$0;15;0
Toyota;Camry;2014;Hybrid;177;126432;2;3856;1;TRUE;2;8;291796704;;;46;0;TRUE;$28,063;FALSE;M;40;$15,820;1;Minivan;no;$0;0;No;0;$0;8;0
Nissan;Sentra;2014;Diesel;152;138922;0;2607;3;TRUE;2;8;24303338;;;40;2;TRUE;$27,788;FALSE;M;60;$9,390;17;Pickup;yes;$0;0;No;0;$5,143;1;1
Toyota;Camry;2005;Petrol;256;266127;0;2000;3;FALSE;4;14;8890927;;;45;2;TRUE;$20,637;TRUE;M;44;$8,060;1;Pickup;no;$0;0;Yes;0;$0;1;0
BMW;X3;2001;Petrol;415;332150;0;2000;4;FALSE;2;7;334739735;;;39;3;TRUE;$85,837;FALSE;M;43;$14,460;7;Minivan;no;$6,055;3;No;3;$0;11;0
Toyota;Prius;2001;Hybrid;209;330687;3;2000;4;FALSE;5;20;951951164;;;30;2;TRUE;$56,253;TRUE;M;9;$6,600;10;Pickup;yes;$2,986;1;No;5;$0;13;0
Chevrolet;Tahoe;2017;Diesel;230;85195;0;12480;1;FALSE;1;2;953297827;;;53;0;TRUE;$81,478;FALSE;M;24;$9,650;4;Pickup;yes;$0;0;No;0;$0;19;0
Ford;Mustang;2012;Petrol;263;168088;2;2000;3;FALSE;2;11;753124100;;;36;0;TRUE;$29,412;TRUE;M;45;$23,210;4;Panel Truck;yes;$1,247;2;No;5;$2,899;11;1
Honda;Accord;2021;Electric;114;33386;0;23661;1;FALSE;2;2;717945707;;;49;1;TRUE;$98,175;TRUE;F;27;$18,800;1;SUV;no;$0;0;No;6;$0;15;0
Volkswagen;Tiguan;2005;Diesel;107;276757;1;2000;1;FALSE;1;9;872721141;;;45;0;TRUE;$103,272;TRUE;F;37;$16,330;6;Minivan;no;$633;1;No;0;$0;16;0
Toyota;Highlander;2012;Petrol;127;172857;0;2000;3;TRUE;5;9;666239340;;;45;1;FALSE;$17,167;TRUE;M;22;$30,400;1;Panel Truck;yes;$0;0;No;0;$0;6;0
Ford;Escape;2022;Electric;359;21164;0;26383;1;TRUE;5;2;406043790;;;39;2;TRUE;$45,261;FALSE;M;13;$12,910;7;Minivan;no;$521;1;No;0;$0;1;0
Nissan;Sentra;2012;Petrol;235;162889;1;2000;1;TRUE;5;11;423739364;;;53;0;TRUE;$114,746;TRUE;F;13;$12,970;6;SUV;no;$0;0;No;1;$0;15;0
Chevrolet;Equinox;2017;Diesel;254;91050;0;11894;1;FALSE;3;1;998040578;;;37;0;TRUE;$22,632;FALSE;F;56;$19,970;13;Pickup;no;$0;0;Yes;1;$4,813;7;1
BMW;5 Series;2012;Diesel;258;170969;3;2000;1;TRUE;2;8;525918644;;;38;2;TRUE;$0;FALSE;F;24;$5,920;4;Sports Car;no;$0;0;No;3;$2,827;6;1
Volkswagen;Golf;2020;Diesel;278;46582;0;20841;1;FALSE;5;1;695264867;;;45;0;TRUE;;TRUE;F;5;$11,160;1;Sports Car;no;$0;0;No;0;$0;16;0
Chevrolet;Tahoe;2008;Diesel;217;227765;2;2000;3;FALSE;1;15;491709455;;;42;3;TRUE;$124,375;TRUE;M;47;$29,920;1;Panel Truck;no;$3,199;2;No;4;$0;8;0
Tesla;Model S;2021;Electric;399;31401;0;39766;1;TRUE;2;1;517982134;;;47;0;TRUE;$26,295;TRUE;F;32;$22,260;1;Minivan;no;$0;0;No;0;$0;8;0
BMW;X5;2016;Hybrid;378;107652;0;14557;1;TRUE;4;6;749559800;;;66;0;TRUE;$75,778;TRUE;M;34;$15,680;1;Sports Car;yes;$4,450;2;No;3;$0;;0
Tesla;Model 3;2013;Electric;879;151217;1;2000;4;TRUE;5;6;823230619;;;44;2;TRUE;$71,918;TRUE;F;16;$11,470;4;SUV;no;$37,729;3;No;4;$0;;0
Volkswagen;Golf;2015;Petrol;165;116201;0;6379;1;TRUE;2;6;487754398;;;39;3;FALSE;$153,236;FALSE;F;27;$5,400;10;SUV;no;$0;0;Yes;1;$2,424;15;1
Nissan;Pathfinder;2004;Diesel;288;280616;1;2000;3;FALSE;3;20;934042208;;;50;0;TRUE;$34,101;FALSE;F;15;$12,580;4;SUV;no;$0;0;No;0;$15,562;4;1
Nissan;Pathfinder;2023;Electric;192;9568;0;29043;1;TRUE;3;1;203396173;;;53;0;TRUE;$18,635;TRUE;M;14;$14,970;6;Minivan;yes;$1,358;3;No;5;$0;1;0
Chevrolet;Malibu;2014;Petrol;233;132542;1;3245;1;TRUE;5;7;16084737;;;31;1;TRUE;$92,817;FALSE;M;26;$10,780;4;Pickup;yes;$0;0;No;0;$0;18;0
Toyota;Corolla;2017;Hybrid;129;87309;0;12269;1;TRUE;3;6;132609655;;;33;1;TRUE;$40,990;TRUE;F;22;$8,900;6;Sports Car;no;$0;0;No;0;$4,729;1;1
Chevrolet;Silverado;2023;Electric;412;5000;0;29500;1;TRUE;3;1;551296680;;;43;0;TRUE;$2,346;TRUE;F;25;$24,500;10;Van;no;$0;0;No;0;$0;7;0
Nissan;Pathfinder;2001;Petrol;155;329960;1;2000;1;FALSE;3;17;100093408;;;35;2;TRUE;$4,457;FALSE;M;18;$1,500;4;Minivan;yes;$0;0;No;4;$5,583;1;1
Tesla;Model X;2010;Electric;955;185880;3;2000;4;FALSE;1;5;784370129;;;49;0;TRUE;$45,962;TRUE;M;29;$11,000;4;Pickup;yes;$0;0;No;3;$0;22;0
Toyota;Corolla;2008;Hybrid;162;217661;2;2000;2;FALSE;1;5;194527047;;;42;0;TRUE;$0;FALSE;F;12;$4,230;1;Sports Car;no;$0;0;No;1;$7,293;7;1
Volkswagen;Tiguan;2008;Diesel;110;220081;1;2000;4;FALSE;2;2;624440117;;;61;0;TRUE;$52,894;TRUE;M;37;$11,250;6;SUV;no;$8,057;2;No;5;$6,284;6;1
Tesla;Model S;2012;Electric;838;175758;1;2000;1;TRUE;5;8;703676514;;;48;0;FALSE;$53,628;TRUE;M;5;$11,660;4;Pickup;no;$1,237;3;No;1;$0;7;0
